Tracer,Slope,Intercept
PIB,0.59081795100136,0.286480702472571
NAV,0.619044192038627,0.243766212516348
AV45,0.606541092995814,0.245303892028304
FBB,0.626187522921237,0.222145968688041
FLUTEMETAMOL,0.570709962153876,0.29048839737187
